filename,basename,toolid,toolmode,parser_version,runid,start,duration,exit_code,findings,infos,errors,fails
victim_dataset/0xd4c220CCaC0335334D425A90f58dE7C667896a06/Users/daixu/KINE/Codes/kine-protocol/contracts/ERC20.sol,ERC20.sol,securify,solidity,2022/11/17,20230506_1100,1683370826,2.427024126,1,,analysis incomplete,,exception (java.io.IOException)
victim_dataset/0xd4c220CCaC0335334D425A90f58dE7C667896a06/Users/daixu/KINE/Codes/kine-protocol/contracts/KineSafeMath.sol,KineSafeMath.sol,securify,solidity,2022/11/17,20230506_1101,1683370884,3.01110673,0,,,,
victim_dataset/0xd4c220CCaC0335334D425A90f58dE7C667896a06/Users/daixu/KINE/Codes/kine-protocol/contracts/KineUSD.sol,KineUSD.sol,securify,solidity,2022/11/17,20230506_1101,1683370913,3.241087198,1,,analysis incomplete,,exception (java.io.IOException)
victim_dataset/0xcD91538B91B4ba7797D39a2f66E63810b50A33d0/contracts/ArcProxy.sol,ArcProxy.sol,securify,solidity,2022/11/17,20230506_1102,1683370943,2.861310482,0,,,,
victim_dataset/0xEB4C2781e4ebA804CE9a9803C67d0893436bB27D/0xEB4C2781e4ebA804CE9a9803C67d0893436bB27D.sol,0xEB4C2781e4ebA804CE9a9803C67d0893436bB27D.sol,securify,solidity,2022/11/17,20230506_1110,1683371436,10.9467628,0,,,,
victim_dataset/0x32Ce7e48debdccbFE0CD037Cc89526E4382cb81b/0x32Ce7e48debdccbFE0CD037Cc89526E4382cb81b.sol,0x32Ce7e48debdccbFE0CD037Cc89526E4382cb81b.sol,securify,solidity,2022/11/17,20230506_1120,1683372052,2.188745737,1,,analysis incomplete,,exception (java.io.IOException)
victim_dataset/0x62931dEce3411Ada1038C09cD01bAa11dB08334B/contracts/LPToken.sol,LPToken.sol,securify,solidity,2022/11/17,20230506_1121,1683372118,1.644645691,1,,analysis incomplete,,exception (java.io.IOException)
victim_dataset/0x62931dEce3411Ada1038C09cD01bAa11dB08334B/contracts/LPFarmV2.sol,LPFarmV2.sol,securify,solidity,2022/11/17,20230506_1122,1683372156,3.559549332,1,,analysis incomplete,,exception (java.io.IOException)
victim_dataset/0x62931dEce3411Ada1038C09cD01bAa11dB08334B/contracts/FormToken.sol,FormToken.sol,securify,solidity,2022/11/17,20230506_1123,1683372230,2.207452536,1,,analysis incomplete,,exception (java.io.IOException)
victim_dataset/0x62931dEce3411Ada1038C09cD01bAa11dB08334B/contracts/StableToken.sol,StableToken.sol,securify,solidity,2022/11/17,20230506_1123,1683372193,1.294532299,1,,analysis incomplete,,exception (java.io.IOException)
victim_dataset/0x62931dEce3411Ada1038C09cD01bAa11dB08334B/@openzeppelin/contracts/token/ERC20/ERC20.sol,ERC20.sol,securify,solidity,2022/11/17,20230506_1124,1683372280,3.424206734,1,,analysis incomplete,,exception (java.io.IOException)
victim_dataset/0x62931dEce3411Ada1038C09cD01bAa11dB08334B/@openzeppelin/contracts/token/ERC20/IERC20.sol,IERC20.sol,securify,solidity,2022/11/17,20230506_1124,1683372268,3.036188602,0,,,,
victim_dataset/0x62931dEce3411Ada1038C09cD01bAa11dB08334B/@openzeppelin/contracts/token/ERC20/extensions/IERC20Metadata.sol,IERC20Metadata.sol,securify,solidity,2022/11/17,20230506_1125,1683372328,2.064056635,1,,analysis incomplete,,exception (java.io.IOException)
victim_dataset/0x62931dEce3411Ada1038C09cD01bAa11dB08334B/@openzeppelin/contracts/utils/Context.sol,Context.sol,securify,solidity,2022/11/17,20230506_1126,1683372375,2.648149729,0,,,,
victim_dataset/0x62931dEce3411Ada1038C09cD01bAa11dB08334B/@openzeppelin/contracts/access/Ownable.sol,Ownable.sol,securify,solidity,2022/11/17,20230506_1126,1683372387,1.937866688,1,,analysis incomplete,,exception (java.io.IOException)
victim_dataset/0xa3d58c4E56fedCae3a7c43A725aeE9A71F0ece4e/0xa3d58c4E56fedCae3a7c43A725aeE9A71F0ece4e.sol,0xa3d58c4E56fedCae3a7c43A725aeE9A71F0ece4e.sol,securify,solidity,2022/11/17,20230506_1127,1683372434,612.6486349,,,analysis incomplete,,DOCKER_TIMEOUT
victim_dataset/0x8798249c2E607446EfB7Ad49eC89dD1865Ff4272/0x8798249c2E607446EfB7Ad49eC89dD1865Ff4272.sol,0x8798249c2E607446EfB7Ad49eC89dD1865Ff4272.sol,securify,solidity,2022/11/17,20230506_1137,1683373051,4.120718479,0,,,,
victim_dataset/0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e/0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e.sol,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e.sol,securify,solidity,2022/11/17,20230506_1147,1683373670,4.815612555,0,,,,
victim_dataset/0x97767D7D04Fd0dB0A1a2478DCd4BA85290556B48/0x97767D7D04Fd0dB0A1a2478DCd4BA85290556B48.sol,0x97767D7D04Fd0dB0A1a2478DCd4BA85290556B48.sol,securify,solidity,2022/11/17,20230506_1158,1683374286,1.441511393,1,,analysis incomplete,,exception (java.io.IOException)
victim_dataset/0xD46bA6D942050d489DBd938a2C909A5d5039A161/0xD46bA6D942050d489DBd938a2C909A5d5039A161.sol,0xD46bA6D942050d489DBd938a2C909A5d5039A161.sol,securify,solidity,2022/11/17,20230506_1158,1683374313,4.210407734,0,,,,
victim_dataset/0x62359Ed7505Efc61FF1D56fEF82158CcaffA23D7/@nomiclabs/buidler/console.sol,console.sol,securify,solidity,2022/11/17,20230506_1208,1683374928,4.280219555,0,,,,
victim_dataset/0x62359Ed7505Efc61FF1D56fEF82158CcaffA23D7/@uniswap/v2-core/contracts/interfaces/IUniswapV2Pair.sol,IUniswapV2Pair.sol,securify,solidity,2022/11/17,20230506_1209,1683374993,2.67085886,0,,,,
victim_dataset/0x62359Ed7505Efc61FF1D56fEF82158CcaffA23D7/@uniswap/lib/contracts/libraries/TransferHelper.sol,TransferHelper.sol,securify,solidity,2022/11/17,20230506_1209,1683374961,2.646901131,0,,,,
victim_dataset/0x62359Ed7505Efc61FF1D56fEF82158CcaffA23D7/@uniswap/v2-core/contracts/interfaces/IUniswapV2Factory.sol,IUniswapV2Factory.sol,securify,solidity,2022/11/17,20230506_1210,1683375004,4.350066185,0,,,,
victim_dataset/0x62359Ed7505Efc61FF1D56fEF82158CcaffA23D7/contracts/uniswapv2/interfaces/IUniswapV2Pair.sol,IUniswapV2Pair.sol,securify,solidity,2022/11/17,20230506_1210,1683375045,2.50451684,0,,,,
victim_dataset/0x62359Ed7505Efc61FF1D56fEF82158CcaffA23D7/contracts/uniswapv2/interfaces/IUniswapV2Router01.sol,IUniswapV2Router01.sol,securify,solidity,2022/11/17,20230506_1210,1683375059,2.838123322,0,,,,
victim_dataset/0x62359Ed7505Efc61FF1D56fEF82158CcaffA23D7/contracts/WETH9.sol,WETH9.sol,securify,solidity,2022/11/17,20230506_1210,1683375017,2.447312117,1,,analysis incomplete,,exception (java.io.IOException)
victim_dataset/0x62359Ed7505Efc61FF1D56fEF82158CcaffA23D7/contracts/uniswapv2/interfaces/IERC20.sol,IERC20.sol,securify,solidity,2022/11/17,20230506_1211,1683375100,3.909714699,0,,,,
victim_dataset/0x62359Ed7505Efc61FF1D56fEF82158CcaffA23D7/contracts/uniswapv2/interfaces/IUniswapV2Router02.sol,IUniswapV2Router02.sol,securify,solidity,2022/11/17,20230506_1211,1683375071,3.715354443,1,,analysis incomplete,,exception (java.io.IOException)
victim_dataset/0x62359Ed7505Efc61FF1D56fEF82158CcaffA23D7/contracts/uniswapv2/interfaces/IWETH.sol,IWETH.sol,securify,solidity,2022/11/17,20230506_1211,1683375113,2.071070671,0,,,,
victim_dataset/0x62359Ed7505Efc61FF1D56fEF82158CcaffA23D7/contracts/uniswapv2/interfaces/IUniswapV2Callee.sol,IUniswapV2Callee.sol,securify,solidity,2022/11/17,20230506_1212,1683375125,2.297276497,0,,,,
victim_dataset/0x62359Ed7505Efc61FF1D56fEF82158CcaffA23D7/contracts/uniswapv2/interfaces/IUniswapV2ERC20.sol,IUniswapV2ERC20.sol,securify,solidity,2022/11/17,20230506_1212,1683375138,4.650305271,0,,,,
